url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://www.enhancely.ai/blog,content,false,85,100,0,70,100,,949,69,86,WebPage; BreadcrumbList; ListItem; WebSite; Organization; Article; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/seo-alone-isn-t-enough-what-changes-with-ai-search-and-what-stays-the-same,content,false,85,100,0,70,100,,1363,67,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; ImageObject; BlogPosting; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/schema-markup-explained-the-invisible-code-that-makes-your-website-visible-to-ai,content,false,84,100,0,70,100,,1133,64,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; BlogPosting; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/why-your-product-pages-are-invisible-to-ai-shopping-assistants-and-how-to-fix-it,content,false,84,100,0,70,100,,1089,69,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; Article; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/e-e-a-t-for-the-ai-era-how-chatgpt-co-recognize-your-brand-as-a-trustworthy-source,content,false,83,100,0,70,100,,1148,69,70,WebPage; BreadcrumbList; Person; ListItem; WebSite; Organization; Article; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/the-content-code-credibility-formula-what-really-matters-for-ai-search-visibility,content,false,84,100,0,70,100,,1246,69,70,WebPage; BreadcrumbList; Person; ListItem; WebSite; Organization; Article; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/why-composable-architecture-needs-a-dedicated-structured-data-service,content,false,91,100,0,70,100,,1353,67,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; BlogPosting; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/why-your-developer-online-documentation-is-failing-ai-coding-assistants-and-how-knowledge-graphs-fix-it,content,false,83,100,0,70,100,,855,69,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; Article; ImageObject; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/knowledge-graphs-how-ai-systems-understand-your-website-as-a-whole,content,false,91,100,0,70,100,,1412,67,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; BlogPosting; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/webmcp-and-nlweb-two-new-standards-are-turning-websites-into-ai-interfaces,content,false,86,100,0,70,100,,1119,67,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; BlogPosting; ImageObject; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/the-3c-framework-a-research-backed-approach-for-content-quality,content,false,92,100,0,70,100,,1393,67,70,WebPage; BreadcrumbList; Person; ListItem; WebSite; Organization; BlogPosting; FAQPage; Question; Answer,No
https://www.enhancely.ai/blog/the-3c-framework-code-the-technical-foundation,content,false,96,100,0,70,100,,1607,67,95,WebPage; BreadcrumbList; ListItem; Person; WebSite; Organization; BlogPosting; ImageObject; FAQPage; Question; Answer,No
