Page URL,Image URL,File Size (KB),Dimensions,Format,Alt Text,Alt Text Quality Score,Decorative,Is Responsive,Loading Attribute,JS Lazy Pattern,Double Lazy,Compression Level,Optimization Score,Recommendations
https://www.leica-microsystems.com/,/_assets/928034e7efd7eb89f584f5d2807f9f72/Images/lms-leica-microsystems-logo.svg,0,160x32,svg,Leica Microsystems Logo,100.00,No,No,none,No,No,High,90.00,"Add loading attribute (lazy for below-fold, eager for above-fold)"
https://www.leica-microsystems.com/,/fileadmin/_processed_/5/e/csm_lms-home-medical-microscopy-flx_b6c7ac61dc.jpg,0,800x260,jpg,,0.00,No,No,none,No,No,High,60.00,"Add alt text; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://www.leica-microsystems.com/,/fileadmin/_processed_/b/5/csm_lms-home-life-science-flx_d03fd449e4.jpg,0,800x260,jpg,,0.00,No,No,none,No,No,High,60.00,"Add alt text; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://www.leica-microsystems.com/,/fileadmin/_processed_/8/4/csm_lms-home-industry-flx_fd78aea1e6.jpg,0,800x260,jpg,,0.00,No,No,none,No,No,High,60.00,"Add alt text; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://www.leica-microsystems.com/,/fileadmin/_processed_/5/6/csm_lms-home-vision-fallback_559bd2bf84.jpg,0,640x?,jpg,Background image,80.00,No,Yes,eager,No,No,High,85.00,Add width and height attributes
https://www.leica-microsystems.com/,/fileadmin/_processed_/3/0/csm_lms-home-medical-microscopy-flx-01_e067c9cdf6.jpg,0,600x800,jpg,Medical Microscopy,90.00,No,No,lazy,No,No,High,100.00,
https://www.leica-microsystems.com/,/fileadmin/_processed_/b/5/csm_lms-home-life-science-flx_ccbf5104cd.jpg,0,600x800,jpg,Life Science Research,100.00,No,No,lazy,No,No,High,100.00,
https://www.leica-microsystems.com/,/fileadmin/_processed_/8/4/csm_lms-home-industry-flx_0033d317a8.jpg,0,600x800,jpg,Industrial Microscopy,100.00,No,No,lazy,No,No,High,100.00,
https://www.leica-microsystems.com/,/fileadmin/academy/user_upload/Aivia-Billboard.jpg,0,1920x1080,jpg,,0.00,No,Yes,lazy,Yes,Yes,High,55.00,"Add alt text; Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/content_excellence/company/sustainability/lms-sustainability_environmental-stewardship.jpg,0,1920x1080,jpg,Environmental stewardship: Plant growing,100.00,No,Yes,lazy,Yes,Yes,High,85.00,"Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/content_excellence/home/latest-innovation-slides-home/shop/lms-shop-teaser-var01.png,0,1920x1080,png,Introducing Online Shopping,100.00,No,Yes,lazy,Yes,Yes,High,85.00,"Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/user_upload/dmi8-inverted-microscope-stage-V1.jpg,0,1920x1080,jpg,,0.00,No,Yes,lazy,Yes,Yes,High,55.00,"Add alt text; Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/user_upload/MyVeo-Key-Visual-Teaser.jpg,0,1920x1080,jpg,Look beyond - MyVeo Headset,100.00,No,Yes,lazy,Yes,Yes,High,85.00,"Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/_processed_/8/1/csm_Ivesta3-Greenough-Stereo-Microscopes-Teaser32_8304df47a1.jpg,0,1920x1080,jpg,Ivesta 3 Greenough Stereo Microscopes,100.00,No,Yes,lazy,Yes,Yes,High,85.00,"Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/academy/user_upload/Aivia-Billboard.jpg,0,1920x1080,jpg,,0.00,No,Yes,lazy,Yes,Yes,High,55.00,"Add alt text; Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/content_excellence/company/sustainability/lms-sustainability_environmental-stewardship.jpg,0,1920x1080,jpg,Environmental stewardship: Plant growing,100.00,No,Yes,lazy,Yes,Yes,High,85.00,"Double-lazy pattern: native loading=""lazy"" combined with JS placeholder (data-src). Above-fold images should use the real URL in src with loading=""eager"""
https://www.leica-microsystems.com/,/fileadmin/_processed_/4/f/csm_MyVeo-Key-Visual-Teaser_3abf8e0099.jpg,0,200x100,jpg,Look beyond - MyVeo Headset,100.00,No,No,lazy,No,No,High,100.00,
